Species	WP010_2A	WP011_3A	WP018_1B	WP020_3B	WP021_4B	WP022_5B	WP023_6B	WP024_7B	WP025_8B	WP016_8A	WP019_2B	WP009_1A	WP012_4A	WP013_5A	WP014_6A	WP015_7A	WP017_9A	Kingdom	Phylum	Class	Order	Family	Genus	Species	Total abundance	Guild	Guild category
Atractospora_sp	21.0	76.0	76.0	46.0	217.0	42.0	23.0	4.0	4.0	309.0	6.0	3443.0	24.0	0.0	82.0	62.0	21.0	Fungi	Ascomycota	Sordariomycetes	Myrmecridiales	Myrmecridiales_fam_Incertae_sedis	Atractospora	Atractospora_sp	4457.0	Wood Saprotroph	Sap
Leptobacillium_leptobactrum	1.0	12.0	4.0	6.0	77.0	1.0	77.0	92.0	20.0	42.0	352.0	107.0	14.0	0.0	0.0	15.0	79.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Cordycipitaceae	Leptobacillium	Leptobacillium_leptobactrum	899.0	NA	ENA
Pleuroascus_rectipilus	4.0	44.0	14.0	25.0	7.0	58.0	15.0	13.0	9.0	28.0	210.0	0.0	78.0	2.0	0.0	1.0	6.0	Fungi	Ascomycota	Leotiomycetes	Helotiales	Pleuroascaceae	Pleuroascus	Pleuroascus_rectipilus	514.0	Dung Saprotroph	Nop
Chaetothyriales_sp	42.0	89.0	6.0	55.0	124.0	56.0	301.0	28.0	136.0	55.0	219.0	1.0	261.0	45.0	45.0	136.0	125.0	Fungi	Ascomycota	Eurotiomycetes	Chaetothyriales	Chaetothyriales_fam_Incertae_sedis	Chaetothyriales_gen_Incertae_sedis	Chaetothyriales_sp	1724.0	NA	ENA
Linnemannia_gamsii	212.0	161.0	98.0	250.0	50.0	130.0	376.0	45.0	256.0	48.0	56.0	16.0	64.0	0.0	80.0	11.0	48.0	Fungi	Mortierellomycota	Mortierellomycetes	Mortierellales	Mortierellaceae	Linnemannia	Linnemannia_gamsii	1901.0	NA	ENA
Albophoma_yamanashiensis	0.0	43.0	12.0	51.0	17.0	69.0	94.0	158.0	245.0	66.0	6.0	0.0	41.0	0.0	4.0	9.0	3.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Ophiocordycipitaceae	Albophoma	Albophoma_yamanashiensis	818.0	NA	ENA
Laccaria_himalayensis	30.0	201.0	0.0	1203.0	2.0	1.0	18.0	98.0	4.0	268.0	86.0	0.0	88.0	0.0	1.0	1.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Hydnangiaceae	Laccaria	Laccaria_himalayensis	2001.0	Ectomycorrhizal	Myc
Genea_hispidula	0.0	5.0	0.0	472.0	1.0	0.0	1409.0	10.0	182.0	17.0	10.0	0.0	203.0	2.0	42.0	0.0	0.0	Fungi	Ascomycota	Pezizomycetes	Pezizales	Pyronemataceae	Genea	Genea_hispidula	2353.0	Ectomycorrhizal	Myc
Nectria_ramulariae	27.0	185.0	81.0	153.0	102.0	54.0	48.0	6.0	17.0	32.0	107.0	13.0	167.0	1.0	3.0	137.0	82.0	Fungi	Ascomycota	Sordariomycetes	Hypocreales	Nectriaceae	Nectria	Nectria_ramulariae	1215.0	Animal Pathogen, Endophyte, Fungal Parasite, Lichen Parasite, Plant Pathogen, Wood Saprotroph	Pat
Cortinarius_incisior	30.0	2.0	64.0	242.0	2.0	651.0	36.0	129.0	11.0	0.0	3.0	1.0	0.0	3.0	18.0	1.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Agaricales	Cortinariaceae	Cortinarius	Cortinarius_incisior	1193.0	Ectomycorrhizal	Myc
Trechispora_verruculosa	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	173.0	2.0	0.0	0.0	1.0	1.0	543.0	0.0	0.0	Fungi	Basidiomycota	Agaricomycetes	Trechisporales	Hydnodontaceae	Trechispora	Trechispora_verruculosa	720.0	Wood Saprotroph	Sap
